Дата         | Страна               | Среднедневная добыча за год (1000 бар/д)
--------------------------------------------------------------------------------
01.02.2006   | Algeria              | 1368.83
01.02.2006   | Angola               | 1384.6
01.02.2006   | Congo                | 260.388
01.02.2006   | Equatorial Guinea    | 281.781
01.02.2006   | Gabon                | 227.714
01.02.2006   | IR Iran              | 4072.6
01.02.2006   | Iraq                 | 1957.224687843193
01.02.2006   | Kuwait               | 2664.5
01.02.2006   | Libya                | 1751.186
01.02.2006   | Nigeria              | 2233.884
01.02.2006   | United Arab Emirates | 2568.0
01.02.2006   | Venezuela            | 3035.6
01.02.2007   | Algeria              | 1371.6
01.02.2007   | Angola               | 1694.6
01.02.2007   | Congo                | 219.46
01.02.2007   | Equatorial Guinea    | 296.237
01.02.2007   | Gabon                | 232.467
01.02.2007   | IR Iran              | 4030.7
01.02.2007   | Iraq                 | 2035.244
01.02.2007   | Kuwait               | 2574.5
01.02.2007   | Libya                | 1673.9
01.02.2007   | Nigeria              | 2059.262
01.02.2007   | United Arab Emirates | 2529.0
01.02.2007   | Venezuela            | 2981.923
01.02.2008   | Algeria              | 1356.0
01.02.2008   | Angola               | 1896.343
01.02.2008   | Congo                | 244.367
01.02.2008   | Equatorial Guinea    | 302.162
01.02.2008   | Gabon                | 228.279
01.02.2008   | IR Iran              | 4055.672
01.02.2008   | Iraq                 | 2280.538
01.02.2008   | Kuwait               | 2676.01
01.02.2008   | Libya                | 1721.484
01.02.2008   | Nigeria              | 2017.366
01.02.2008   | United Arab Emirates | 2572.2
01.02.2008   | Venezuela            | 2957.536
01.02.2010   | Algeria              | 1189.839
01.02.2010   | Angola               | 1757.6
01.02.2010   | Congo                | 308.146
01.02.2010   | Equatorial Guinea    | 240.972
01.02.2010   | Gabon                | 241.114
01.02.2010   | IR Iran              | 3544.0
01.02.2010   | Iraq                 | 2358.074
01.02.2010   | Kuwait               | 2312.12
01.02.2010   | Libya                | 1486.605
01.02.2010   | Nigeria              | 2048.269
01.02.2010   | United Arab Emirates | 2323.829
01.02.2010   | Venezuela            | 2853.638
01.02.2011   | Algeria              | 1161.608
01.02.2011   | Angola               | 1618.047
01.02.2011   | Congo                | 289.431
01.02.2011   | Equatorial Guinea    | 228.805
01.02.2011   | Gabon                | 241.32
01.02.2011   | IR Iran              | 3576.0
01.02.2011   | Iraq                 | 2652.625
01.02.2011   | Kuwait               | 2658.69
01.02.2011   | Libya                | 489.456
01.02.2011   | Nigeria              | 1974.808
01.02.2011   | United Arab Emirates | 2564.17
01.02.2011   | Venezuela            | 2880.907
01.02.2012   | Algeria              | 1199.795
01.02.2012   | Angola               | 1704.001
01.02.2012   | Congo                | 262.87
01.02.2012   | Equatorial Guinea    | 247.143
01.02.2012   | Gabon                | 227.255
01.02.2012   | IR Iran              | 3739.751
01.02.2012   | Iraq                 | 2942.407
01.02.2012   | Kuwait               | 2977.56
01.02.2012   | Libya                | 1449.994
01.02.2012   | Nigeria              | 1954.074
01.02.2012   | United Arab Emirates | 2653.0
01.02.2012   | Venezuela            | 2803.93
01.02.2013   | Algeria              | 1202.614
01.02.2013   | Angola               | 1701.203
01.02.2013   | Congo                | 239.789
01.02.2013   | Equatorial Guinea    | 211.19
01.02.2013   | Gabon                | 220.247
01.02.2013   | IR Iran              | 3575.342
01.02.2013   | Iraq                 | 2979.616
01.02.2013   | Kuwait               | 2924.65
01.02.2013   | Libya                | 993.346
01.02.2013   | Nigeria              | 1753.717
01.02.2013   | United Arab Emirates | 2796.534
01.02.2013   | Venezuela            | 2789.486
01.02.2016   | Algeria              | 1146.295
01.02.2016   | Angola               | 1721.62
01.02.2016   | Congo                | 225.008
01.02.2016   | Equatorial Guinea    | 163.205
01.02.2016   | Gabon                | 220.693
01.02.2016   | IR Iran              | 3651.298
01.02.2016   | Iraq                 | 4647.795
01.02.2016   | Kuwait               | 2954.265
01.02.2016   | Libya                | 388.945
01.02.2016   | Nigeria              | 1427.262
01.02.2016   | United Arab Emirates | 3088.284
01.02.2016   | Venezuela            | 2372.503
01.02.2017   | Algeria              | 1058.693
01.02.2017   | Angola               | 1632.238
01.02.2017   | Congo                | 262.73
01.02.2017   | Equatorial Guinea    | 128.6
01.02.2017   | Gabon                | 210.066
01.02.2017   | IR Iran              | 3867.315
01.02.2017   | Iraq                 | 4468.663
01.02.2017   | Kuwait               | 2704.236
01.02.2017   | Libya                | 807.594
01.02.2017   | Nigeria              | 1535.639
01.02.2017   | United Arab Emirates | 2966.526
01.02.2017   | Venezuela            | 2034.802
01.02.2018   | Algeria              | 1040.102
01.02.2018   | Angola               | 1473.267
01.02.2018   | Congo                | 323.466
01.02.2018   | Equatorial Guinea    | 120.179
01.02.2018   | Gabon                | 193.447
01.02.2018   | IR Iran              | 3535.865
01.02.2018   | Iraq                 | 4410.0
01.02.2018   | Kuwait               | 2736.603
01.02.2018   | Libya                | 946.219
01.02.2018   | Nigeria              | 1601.61
01.02.2018   | United Arab Emirates | 3008.342
01.02.2018   | Venezuela            | 1510.2
01.02.2019   | Algeria              | 1023.2
01.02.2019   | Angola               | 1372.848
01.02.2019   | Congo                | 329.197
01.02.2019   | Equatorial Guinea    | 109.583
01.02.2019   | Gabon                | 217.831
01.02.2019   | IR Iran              | 2362.446
01.02.2019   | Iraq                 | 4576.14
01.02.2019   | Kuwait               | 2677.655
01.02.2019   | Libya                | 1090.806
01.02.2019   | Nigeria              | 1737.407
01.02.2019   | United Arab Emirates | 3057.899
01.02.2019   | Venezuela            | 1012.605
01.02.2021   | Algeria              | 910.877
01.02.2021   | Angola               | 1124.457
01.02.2021   | Congo                | 266.646
01.02.2021   | Equatorial Guinea    | 93.32
01.02.2021   | Gabon                | 181.168
01.02.2021   | IR Iran              | 2392.117
01.02.2021   | Iraq                 | 3971.367
01.02.2021   | Kuwait               | 2414.956
01.02.2021   | Libya                | 1207.091
01.02.2021   | Nigeria              | 1322.759
01.02.2021   | United Arab Emirates | 2717.603
01.02.2021   | Venezuela            | 636.0
01.02.2022   | Algeria              | 1020.258
01.02.2022   | Angola               | 1136.711
01.02.2022   | Congo                | 261.604
01.02.2022   | Equatorial Guinea    | 81.295
01.02.2022   | Gabon                | 190.547
01.02.2022   | IR Iran              | 2554.267
01.02.2022   | Iraq                 | 4452.528
01.02.2022   | Kuwait               | 2707.038
01.02.2022   | Libya                | 981.282
01.02.2022   | Nigeria              | 1137.913
01.02.2022   | United Arab Emirates | 3064.181
01.02.2022   | Venezuela            | 716.395
01.03.2006   | Algeria              | 1368.83
01.03.2006   | Angola               | 1384.6
01.03.2006   | Congo                | 260.388
01.03.2006   | Equatorial Guinea    | 281.781
01.03.2006   | Gabon                | 227.714
01.03.2006   | IR Iran              | 4072.6
01.03.2006   | Iraq                 | 1957.224687843193
01.03.2006   | Kuwait               | 2664.5
01.03.2006   | Libya                | 1751.186
