Дата         | Страна               | Цена за баррель
-------------------------------------------------------
01.02.2006   | Algeria              | 60.77
01.02.2006   | Angola               | 60.77
01.02.2006   | Congo                | 60.77
01.02.2006   | Equatorial Guinea    | 60.77
01.02.2006   | Gabon                | 60.77
01.02.2006   | IR Iran              | 60.77
01.02.2006   | Iraq                 | 60.77
01.02.2006   | Kuwait               | 60.77
01.02.2006   | Libya                | 60.77
01.02.2006   | Nigeria              | 60.77
01.02.2006   | United Arab Emirates | 60.77
01.02.2006   | Venezuela            | 60.77
01.02.2007   | Algeria              | 53.49
01.02.2007   | Angola               | 53.49
01.02.2007   | Congo                | 53.49
01.02.2007   | Equatorial Guinea    | 53.49
01.02.2007   | Gabon                | 53.49
01.02.2007   | IR Iran              | 53.49
01.02.2007   | Iraq                 | 53.49
01.02.2007   | Kuwait               | 53.49
01.02.2007   | Libya                | 53.49
01.02.2007   | Nigeria              | 53.49
01.02.2007   | United Arab Emirates | 53.49
01.02.2007   | Venezuela            | 53.49
01.02.2008   | Algeria              | 87.5
01.02.2008   | Angola               | 87.5
01.02.2008   | Congo                | 87.5
01.02.2008   | Equatorial Guinea    | 87.5
01.02.2008   | Gabon                | 87.5
01.02.2008   | IR Iran              | 87.5
01.02.2008   | Iraq                 | 87.5
01.02.2008   | Kuwait               | 87.5
01.02.2008   | Libya                | 87.5
01.02.2008   | Nigeria              | 87.5
01.02.2008   | United Arab Emirates | 87.5
01.02.2008   | Venezuela            | 87.5
01.02.2010   | Algeria              | 71.02
01.02.2010   | Angola               | 71.02
01.02.2010   | Congo                | 71.02
01.02.2010   | Equatorial Guinea    | 71.02
01.02.2010   | Gabon                | 71.02
01.02.2010   | IR Iran              | 71.02
01.02.2010   | Iraq                 | 71.02
01.02.2010   | Kuwait               | 71.02
01.02.2010   | Libya                | 71.02
01.02.2010   | Nigeria              | 71.02
01.02.2010   | United Arab Emirates | 71.02
01.02.2010   | Venezuela            | 71.02
01.02.2011   | Algeria              | 96.39
01.02.2011   | Angola               | 96.39
01.02.2011   | Congo                | 96.39
01.02.2011   | Equatorial Guinea    | 96.39
01.02.2011   | Gabon                | 96.39
01.02.2011   | IR Iran              | 96.39
01.02.2011   | Iraq                 | 96.39
01.02.2011   | Kuwait               | 96.39
01.02.2011   | Libya                | 96.39
01.02.2011   | Nigeria              | 96.39
01.02.2011   | United Arab Emirates | 96.39
01.02.2011   | Venezuela            | 96.39
01.02.2012   | Algeria              | 110.61
01.02.2012   | Angola               | 110.61
01.02.2012   | Congo                | 110.61
01.02.2012   | Equatorial Guinea    | 110.61
01.02.2012   | Gabon                | 110.61
01.02.2012   | IR Iran              | 110.61
01.02.2012   | Iraq                 | 110.61
01.02.2012   | Kuwait               | 110.61
01.02.2012   | Libya                | 110.61
01.02.2012   | Nigeria              | 110.61
01.02.2012   | United Arab Emirates | 110.61
