Дата         | Страна               | Курс доллара
----------------------------------------------------
01.02.2006   | Algeria              | 28.14
01.02.2006   | Angola               | 28.14
01.02.2006   | Congo                | 28.14
01.02.2006   | Equatorial Guinea    | 28.14
01.02.2006   | Gabon                | 28.14
01.02.2006   | IR Iran              | 28.14
01.02.2006   | Iraq                 | 28.14
01.02.2006   | Kuwait               | 28.14
01.02.2006   | Libya                | 28.14
01.02.2006   | Nigeria              | 28.14
01.02.2006   | United Arab Emirates | 28.14
01.02.2006   | Venezuela            | 28.14
01.02.2007   | Algeria              | 26.494
01.02.2007   | Angola               | 26.494
01.02.2007   | Congo                | 26.494
01.02.2007   | Equatorial Guinea    | 26.494
01.02.2007   | Gabon                | 26.494
01.02.2007   | IR Iran              | 26.494
01.02.2007   | Iraq                 | 26.494
01.02.2007   | Kuwait               | 26.494
01.02.2007   | Libya                | 26.494
01.02.2007   | Nigeria              | 26.494
01.02.2007   | United Arab Emirates | 26.494
01.02.2007   | Venezuela            | 26.494
01.02.2008   | Algeria              | 24.488
01.02.2008   | Angola               | 24.488
01.02.2008   | Congo                | 24.488
01.02.2008   | Equatorial Guinea    | 24.488
01.02.2008   | Gabon                | 24.488
01.02.2008   | IR Iran              | 24.488
01.02.2008   | Iraq                 | 24.488
01.02.2008   | Kuwait               | 24.488
01.02.2008   | Libya                | 24.488
01.02.2008   | Nigeria              | 24.488
01.02.2008   | United Arab Emirates | 24.488
01.02.2008   | Venezuela            | 24.488
01.02.2010   | Algeria              | 30.828
01.02.2010   | Angola               | 30.828
01.02.2010   | Congo                | 30.828
01.02.2010   | Equatorial Guinea    | 30.828
01.02.2010   | Gabon                | 30.828
01.02.2010   | IR Iran              | 30.828
01.02.2010   | Iraq                 | 30.828
01.02.2010   | Kuwait               | 30.828
01.02.2010   | Libya                | 30.828
01.02.2010   | Nigeria              | 30.828
01.02.2010   | United Arab Emirates | 30.828
01.02.2010   | Venezuela            | 30.828
01.02.2011   | Algeria              | 30.8215
01.02.2011   | Angola               | 30.8215
01.02.2011   | Congo                | 30.8215
01.02.2011   | Equatorial Guinea    | 30.8215
01.02.2011   | Gabon                | 30.8215
01.02.2011   | IR Iran              | 30.8215
01.02.2011   | Iraq                 | 30.8215
01.02.2011   | Kuwait               | 30.8215
01.02.2011   | Libya                | 30.8215
01.02.2011   | Nigeria              | 30.8215
01.02.2011   | United Arab Emirates | 30.8215
01.02.2011   | Venezuela            | 30.8215
01.02.2012   | Algeria              | 31.2
01.02.2012   | Angola               | 31.2
01.02.2012   | Congo                | 31.2
01.02.2012   | Equatorial Guinea    | 31.2
01.02.2012   | Gabon                | 31.2
01.02.2012   | IR Iran              | 31.2
01.02.2012   | Iraq                 | 31.2
01.02.2012   | Kuwait               | 31.2
01.02.2012   | Libya                | 31.2
01.02.2012   | Nigeria              | 31.2
01.02.2012   | United Arab Emirates | 31.2
01.02.2012   | Venezuela            | 31.2
01.02.2013   | Algeria              | 31.087
01.02.2013   | Angola               | 31.087
01.02.2013   | Congo                | 31.087
01.02.2013   | Equatorial Guinea    | 31.087
01.02.2013   | Gabon                | 31.087
01.02.2013   | IR Iran              | 31.087
01.02.2013   | Iraq                 | 31.087
01.02.2013   | Kuwait               | 31.087
01.02.2013   | Libya                | 31.087
01.02.2013   | Nigeria              | 31.087
01.02.2013   | United Arab Emirates | 31.087
01.02.2013   | Venezuela            | 31.087
01.02.2016   | Algeria              | 70.9601
01.02.2016   | Angola               | 70.9601
01.02.2016   | Congo                | 70.9601
01.02.2016   | Equatorial Guinea    | 70.9601
01.02.2016   | Gabon                | 70.9601
01.02.2016   | IR Iran              | 70.9601
01.02.2016   | Iraq                 | 70.9601
01.02.2016   | Kuwait               | 70.9601
01.02.2016   | Libya                | 70.9601
01.02.2016   | Nigeria              | 70.9601
01.02.2016   | United Arab Emirates | 70.9601
01.02.2016   | Venezuela            | 70.9601
01.02.2017   | Algeria              | 60.9777
01.02.2017   | Angola               | 60.9777
01.02.2017   | Congo                | 60.9777
01.02.2017   | Equatorial Guinea    | 60.9777
01.02.2017   | Gabon                | 60.9777
01.02.2017   | IR Iran              | 60.9777
01.02.2017   | Iraq                 | 60.9777
01.02.2017   | Kuwait               | 60.9777
01.02.2017   | Libya                | 60.9777
01.02.2017   | Nigeria              | 60.9777
01.02.2017   | United Arab Emirates | 60.9777
01.02.2017   | Venezuela            | 60.9777
01.02.2018   | Algeria              | 56.8218
01.02.2018   | Angola               | 56.8218
01.02.2018   | Congo                | 56.8218
01.02.2018   | Equatorial Guinea    | 56.8218
01.02.2018   | Gabon                | 56.8218
01.02.2018   | IR Iran              | 56.8218
01.02.2018   | Iraq                 | 56.8218
01.02.2018   | Kuwait               | 56.8218
01.02.2018   | Libya                | 56.8218
01.02.2018   | Nigeria              | 56.8218
01.02.2018   | United Arab Emirates | 56.8218
01.02.2018   | Venezuela            | 56.8218
01.02.2019   | Algeria              | 62.973
01.02.2019   | Angola               | 62.973
