Дата         | Страна               | Добыча (1000 бар)
---------------------------------------------------------
01.02.2006   | Algeria              | 1376.6
01.02.2006   | Angola               | 1383.4
01.02.2006   | Congo                | 227.4
01.02.2006   | Equatorial Guinea    | 252.4
01.02.2006   | Gabon                | 206.4
01.02.2006   | IR Iran              | 4109.1
01.02.2006   | Iraq                 | 2042.3
01.02.2006   | Kuwait               | 2710.3
01.02.2006   | Libya                | 1771.7
01.02.2006   | Nigeria              | 2231.0
01.02.2006   | United Arab Emirates | 2527.1
01.02.2006   | Venezuela            | 3013.6
01.02.2007   | Algeria              | 1455.7
01.02.2007   | Angola               | 1656.3
01.02.2007   | Congo                | 251.4
01.02.2007   | Equatorial Guinea    | 298.2
01.02.2007   | Gabon                | 186.3
01.02.2007   | IR Iran              | 4078.8
01.02.2007   | Iraq                 | 2053.2
01.02.2007   | Kuwait               | 2516.9
01.02.2007   | Libya                | 1729.5
01.02.2007   | Nigeria              | 2041.1
01.02.2007   | United Arab Emirates | 2572.2
01.02.2007   | Venezuela            | 3030.4
01.02.2008   | Algeria              | 1325.5
01.02.2008   | Angola               | 1860.3
01.02.2008   | Congo                | 276.0
01.02.2008   | Equatorial Guinea    | 283.1
01.02.2008   | Gabon                | 192.7
01.02.2008   | IR Iran              | 4049.7
01.02.2008   | Iraq                 | 2276.3
01.02.2008   | Kuwait               | 2681.7
01.02.2008   | Libya                | 1730.9
01.02.2008   | Nigeria              | 2062.6
01.02.2008   | United Arab Emirates | 2633.0
01.02.2008   | Venezuela            | 3007.0
01.02.2010   | Algeria              | 1244.2
01.02.2010   | Angola               | 1738.5
01.02.2010   | Congo                | 358.0
01.02.2010   | Equatorial Guinea    | 286.8
01.02.2010   | Gabon                | 166.5
01.02.2010   | IR Iran              | 3485.2
01.02.2010   | Iraq                 | 2333.0
01.02.2010   | Kuwait               | 2306.4
01.02.2010   | Libya                | 1521.8
01.02.2010   | Nigeria              | 2079.9
01.02.2010   | United Arab Emirates | 2373.2
01.02.2010   | Venezuela            | 2836.6
01.02.2011   | Algeria              | 1165.2
01.02.2011   | Angola               | 1558.4
01.02.2011   | Congo                | 296.3
01.02.2011   | Equatorial Guinea    | 268.2
01.02.2011   | Gabon                | 188.0
01.02.2011   | IR Iran              | 3629.1
01.02.2011   | Iraq                 | 2673.8
01.02.2011   | Kuwait               | 2594.4
01.02.2011   | Libya                | 526.5
01.02.2011   | Nigeria              | 1983.2
01.02.2011   | United Arab Emirates | 2466.0
01.02.2011   | Venezuela            | 2993.0
01.02.2012   | Algeria              | 1202.3
01.02.2012   | Angola               | 1539.6
01.02.2012   | Congo                | 281.2
01.02.2012   | Equatorial Guinea    | 229.2
01.02.2012   | Gabon                | 288.4
01.02.2012   | IR Iran              | 3716.8
01.02.2012   | Iraq                 | 2958.4
01.02.2012   | Kuwait               | 2993.6
01.02.2012   | Libya                | 1459.0
